beta	psuedoF	pval	month
bray_curtis	1.0346029127676961	0.325	0
bray_curtis	3.7354473518644493	0.001	1
bray_curtis	1.419831904194247	0.107	2
bray_curtis	1.4751203439907736	0.074	3
bray_curtis	1.5395266144710076	0.074	4
bray_curtis	1.748569834925429	0.027	5
bray_curtis	1.8436497662857525	0.022	6
bray_curtis	2.2522308241854576	0.007	7
bray_curtis	1.9206109163509446	0.014	8
bray_curtis	2.2635856499293605	0.003	9
bray_curtis	1.8958010060202717	0.009	10
bray_curtis	1.9040653493969266	0.013	11
bray_curtis	1.613456497442051	0.036	12
bray_curtis	2.436718276884882	0.003	14
bray_curtis	0.43470626791766587	1	15
bray_curtis	1.5909653651723608	0.052	16
bray_curtis	1.685318245014313	0.032	18
bray_curtis	1.0346029127676961	0.331	0
bray_curtis	3.7354473518644493	0.001	1
bray_curtis	1.419831904194247	0.101	2
bray_curtis	1.4751203439907736	0.082	3
bray_curtis	1.5395266144710076	0.073	4
bray_curtis	1.748569834925429	0.026	5
bray_curtis	1.8436497662857525	0.024	6
bray_curtis	2.2522308241854576	0.003	7
bray_curtis	1.9206109163509446	0.016	8
bray_curtis	2.2635856499293605	0.005	9
bray_curtis	1.8958010060202717	0.014	10
bray_curtis	1.9040653493969266	0.009	11
bray_curtis	1.613456497442051	0.019	12
bray_curtis	2.436718276884882	0.001	14
bray_curtis	0.43470626791766587	1	15
bray_curtis	1.5909653651723608	0.068	16
bray_curtis	1.685318245014313	0.055	18
bray_curtis	1.79634030318535	0.02	20
bray_curtis	0.6753766385814501	0.923	22
bray_curtis	0.8159417954684796	0.698	24
